sequence,role,archive_entry,export_path,source_sha256,image_sha256,size_bytes,width,height,category,description
0,thumbnail,thumbnail.png,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/thumbnail.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,d0fbecf0577031364def7b4c68cc85e4c3e7d3b6a9f8f0c27cc5bdf4f86f44db,10547,399,128,whiteboard_thumbnail,Jamboard/FigJam archive thumbnail showing the overall workflow map layout.
1,embedded_image,images/c70be8d185d45355e6db4988c5b0053b43feaaa1,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-001.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,2370be8087b4b4e286b59cee39e58818cbc8632cf5c7b27750a59997f50e96d9,22498,383,141,website_data_spreadsheet,"Website Data spreadsheet, Repair Estimate Requests table with request id/time/name/contact/VRM/comments/paid/Box folder columns."
2,embedded_image,images/10b8a5edb5b6b54cf6e342c5196e85ffe1ddda03,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-002.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,d0d00fa667507beb75ea27c8a51a614ed22c096b8a628d4478e18bcb41c50446,6614,359,128,outlook_instruction_attachment,Outlook AX inspection request email row with attached K90KHS.pdf.
3,embedded_image,images/0ea61ef2752dd855ca47ba4c8b3ad27f778efc1a,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-003.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,cc9f54748567cc482a4b8cc9528a9d502e0767dc85fba7fbbdedfcb3283cf806,55859,1205,754,portal_confirmation_email,Estimate Request Confirmation email with Invoice.pdf attachment and payment received text.
4,embedded_image,images/f207bfa9eb71b0e632c0393ba0f904c1def5a4aa,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-004.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,e3c9c586233499ba05eb1f71f63cf4dce8373250a69d0d145cb4bd68ceb28a5d,6419,360,99,outlook_category_email,Outlook message from Gemma Hartley showing Red category label and our-ref text.
5,embedded_image,images/442f142e5ba111fea050863db7c6241864405888,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-005.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,038b63707f366a5c805596b620441fb77dcbb69759ef85c4e68a53106de0b9c9,53898,287,409,repairer_portal_form,"Repairer portal form with contact details, VRM, further comments, and vehicle image upload."
6,embedded_image,images/b2ab0b3b9b7553e475f30dcf7b335e0719935d05,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-006.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,eafdc800d2cd9e811749d5fa9798671a3cfd80662dfe0de6315d9d298ebbcc8a,22379,310,312,whatsapp_logo,WhatsApp channel marker.
7,embedded_image,images/9a576cb2e45786d7b63174a79bf45be731c596f3,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-007.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,45f8c8f8947439b748ba797f7927d0cc7066d552240e58c056a6d42f112ea470,23274,387,185,website_data_spreadsheet,Website Data spreadsheet crop with paid status and Box folder columns.
8,embedded_image,images/2ec624391813f68b68ce0e57867b1fbe96195b01,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-008.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,ec0c94e4f779dd3b4324c3fa082281a572521d9c535743aa770c83ebaf64eada,13122,302,178,portal_request_email,"New Repair Estimate Request email containing repairer contact details, VRM, comments, and Box folder link."
9,embedded_image,images/ce62bb5a1997446f5c21b423a2b11b3c15a0ab32,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-009.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,b9a714f9fbd6737304cd58c51f28b15215489b3027b9e762844a400e216377d5,14241,314,176,box_folder,"Box folder view for a repair estimate request containing uploaded images, Invoice.pdf, and Summary.txt."
10,embedded_image,images/6c8da0059f928f3379c3d730afdc0b393195d8a1,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-010.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,90a7713d88e39751a455de3ab192905a18f551b941d15e5db87dc7badf087320,48348,1207,712,portal_request_email,Larger New Repair Estimate Request email with form data and Box folder link.
11,embedded_image,images/30125f770c6652684c04eb30da2562695205a228,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-011.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,f6d011439a3c2512f15658d3b64492f89283daecad75cd00222378e046fa1e2f,67254,410,360,whatsapp_report_delivery,WhatsApp report delivery message with report PDF and QDOS authorisation note.
12,embedded_image,images/53cdc551b00cd716092741b8adf2f65f133ab885,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-012.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,902055de8ecb08d397cb226c3d933ebd4cec6c84b4f4ac194a81c9fb41482378,2958,250,26,outlook_categories,"Outlook category labels: Green category, Red category, PCH Audit."
13,embedded_image,images/72efedef05d45db5c208c619838e4f096a3d23e3,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-013.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,8653fd49dcc4767ede74be9c2ef3b0a89c87681ad335e90b94da8984bc51ae8c,15491,319,236,stripe_payment,Stripe-style payment checkout for Collision Engineers assessment amount.
14,embedded_image,images/d0f3ee351b0ec24f66be185a1f90e0533d34a8dd,docs/data/jam_exports/collisionrelateddocs__collision_releated__collision-engineers-whiteboard.jam/images/frame-014.png,710a56041e42fb4755838bd90944b2f69d1c8ba819bea0fd030f21f1e5c2fa31,033cd8ac8a55eaec4bae024e59e9a0cb3dc74d8876843906d19be50902535649,21441,287,114,whatsapp_query,WhatsApp supplementary repair query from Agmors Coachworks with prior message context.
